JD : 2459166.49070598 ; Az : 4.952 ; El : 26.262 ; Rn :    0.0
JD : 2459166.49082173 ; Az : 4.953 ; El : 26.354 ; Rn :    0.0
JD : 2459166.49093747 ; Az : 4.953 ; El : 26.445 ; Rn :    0.0
JD : 2459166.49105321 ; Az : 4.953 ; El : 26.537 ; Rn :    0.0
JD : 2459166.49116895 ; Az : 4.953 ; El : 26.628 ; Rn :    0.0
JD : 2459166.49128469 ; Az : 4.953 ; El : 26.720 ; Rn :    0.0
JD : 2459166.49140043 ; Az : 4.953 ; El : 26.812 ; Rn :    0.0
JD : 2459166.49151617 ; Az : 4.953 ; El : 26.904 ; Rn :    0.0
JD : 2459166.49163191 ; Az : 4.953 ; El : 26.995 ; Rn :    0.0
JD : 2459166.49174765 ; Az : 4.953 ; El : 27.087 ; Rn :    0.0
JD : 2459166.49186339 ; Az : 4.953 ; El : 27.179 ; Rn :    0.0
JD : 2459166.49197913 ; Az : 4.953 ; El : 27.271 ; Rn :    0.0
JD : 2459166.49209487 ; Az : 4.953 ; El : 27.363 ; Rn :    0.0
JD : 2459166.49221061 ; Az : 4.953 ; El : 27.455 ; Rn :    0.0
JD : 2459166.49232635 ; Az : 4.953 ; El : 27.547 ; Rn :    0.0
JD : 2459166.49244209 ; Az : 4.953 ; El : 27.639 ; Rn :    0.0
JD : 2459166.49255783 ; Az : 4.953 ; El : 27.731 ; Rn :    0.0
JD : 2459166.49267357 ; Az : 4.953 ; El : 27.823 ; Rn :    0.0
JD : 2459166.49278932 ; Az : 4.952 ; El : 27.915 ; Rn :    0.0
JD : 2459166.49290506 ; Az : 4.952 ; El : 28.007 ; Rn :    0.0
JD : 2459166.49302080 ; Az : 4.952 ; El : 28.100 ; Rn :    0.0
JD : 2459166.49313654 ; Az : 4.952 ; El : 28.192 ; Rn :    0.0
JD : 2459166.49325228 ; Az : 4.952 ; El : 28.284 ; Rn :    0.0
JD : 2459166.49336802 ; Az : 4.951 ; El : 28.377 ; Rn :    0.0
JD : 2459166.49348376 ; Az : 4.951 ; El : 28.469 ; Rn :    0.0
JD : 2459166.49359950 ; Az : 4.951 ; El : 28.562 ; Rn :    0.0
JD : 2459166.49371524 ; Az : 4.951 ; El : 28.654 ; Rn :    0.0
JD : 2459166.49383098 ; Az : 4.950 ; El : 28.747 ; Rn :    0.0
JD : 2459166.49394672 ; Az : 4.950 ; El : 28.839 ; Rn :    0.0
JD : 2459166.49406246 ; Az : 4.950 ; El : 28.932 ; Rn :    0.0
